Nom,Site Web,Emails,Score,Pertinent,Raison,Projet Recent,Typologies,Langue,Source
"La construction – Elementerre","http://www.elementerre-sarl.com/la-construction/","",5,true,"Spécialiste reconnu en construction BTC au Sénégal, production de blocs de terre comprimée de différentes dimensions, réalisation de bâtiments porteurs en terre, voûtes et coupoles, conseil en isolation passive.","Constructions en BTC : bâtiments porteurs, voûtes et coupoles (Sénégal)","résidentiel, collectif, équipements publics",fr,"SerpAPI Google Search"
"Les Spécialistes des Briques de Terre Crue (BTC) au Sénégal","https://terrabitat.net/","",5,true,"Entreprise sénégalaise spécialisée dans la fabrication de BTC et la construction d'habitations en terre crue, engagement explicite pour la durabilité, l'écologie et les matériaux locaux, expertise reconnue en Afrique de l'Ouest.","Constructions d'églises pour une fondation allemande en Afrique de l'Ouest","résidentiel, institutionnel",fr,"SerpAPI Google Search"
"La brique de terre crue compressée Didier Hubert","https://didierhubert.wixsite.com/briquedeterre/au-senegal","",4,true,"GIE actif au Sénégal depuis 2005 spécialisé dans la brique de terre crue compressée (géobéton), avec plusieurs projets identifiables sur site (maison à Thiès, case ronde, mur d'enceinte).","Maison à Thiès, Case ronde avec toiture à aération, Mur d'enceinte à M'Bodiene (Petite Côte)","résidentiel",fr,"SerpAPI Google Search"
"DNA: Accueil","https://dnasarl.com/","mrittikarchitects@gmail.com; info@dnasarl.com; mrittikarch@gmail.com",5,true,"Pioneer de la construction durable au Sénégal depuis 2019, utilise BTC, terre crue et typha, multi-typologies (maisons, bureaux, équipements publics), 50+ artisans formés, 35% d'économie d'énergie moyenne, engagement fort et chiffré.","Bâtiments durables adaptés au climat tropical (maisons individuelles, bureaux, équipements publics)","résidentiel, bureaux, institutionnel, équipements publics",fr,"SerpAPI Google Search"
"COMPACT Construction, Dakar: Accueil","https://www.compact.sn/","moussa.anne@compact.sn; adame.ndour@compact.sn",4,true,"Compagnie Africaine des Constructions en Terre basée à Dakar, producteur de BTC stabilisées, positionnement éco-responsable affirmé comme alternative au béton, mission de démocratisation de l'habitat écologique.","","résidentiel, collectif",fr,"SerpAPI Google Search"
"L'atelier – Worofila","https://worofila.com/atelier/","contact@worofila.com",5,true,"Atelier d'architecture bioclimatique sénégalais fondé en 2019, spécialisé en terre crue et typha, vise la neutralité carbone, utilisation exclusive de matériaux locaux peu transformés, engagement écologique au cœur du projet architectural.","Projets de construction bioclimatique en terre crue et typha à Dakar","résidentiel, collectif",fr,"SerpAPI Google Search"
"D'architecture en terre crue","http://guillouxetassocies.com/darchitecture-en-terre-crue/","",4,true,"Cabinet d'architecture à Dakar avec projets identifiés en construction en terre crue (pisé), incluant hôtel et villa, démontrant une maîtrise pratique des matériaux écologiques.","Hôtel Lamantin Beach (pisé), Villa Paret","résidentiel, hôtellerie",fr,"SerpAPI Google Search"
"BioBuild Africa, votre partenaire construction durable pour l ...","https://www.biobuild-africa.com/presentation","",3,true,"Facilitateur en construction durable pour l'Afrique de l'Ouest, engagement clair pour la durabilité et l'adaptation climatique, mais aucun projet concret ni spécialité architecturale identifiée.","","résidentiel, institutionnel, collectif",fr,"SerpAPI Google Search"
"À Dakar, construire en matériaux locaux","https://www.hardel-lebihan.com/focus/a-dakar-construire-en-materiaux-locaux","",4,true,"Cabinet d'architecture avec projet majeur au Sénégal (campus UCAD, 100 000 m², 16 résidences étudiantes) utilisant des briques locales de Diass, approche bioclimatique validée avec partenaires environnement.","Campus étudiant UCAD - 16 résidences, briques locales Sofamac, +100 000 m² (Dakar)","campus universitaire, résidentiel collectif",fr,"SerpAPI Google Search"
"Elementerre – Construction écologique en Afrique","https://www.climate-chance.org/bonne-pratique/elementerre-construction-ecologique-en-afrique/","tdiallo.archi@gmail.com; association@climate-chance.org; mobilisation@climate-chance.org",5,true,"Profil Climate Chance d'Elementerre confirmant leur activité multi-typologies en éco-construction (BTC, typha, terre crue) au Sénégal : villas individuelles, immeubles collectifs, équipements scolaires et structures de santé.","Équipements scolaires, structures de santé, villas et immeubles collectifs en BTC et typha (Sénégal)","résidentiel, collectif, scolaire, santé",fr,"SerpAPI Google Search"
"Abbey construction program in the Tambacounda region ...","https://craterre.org/en/case/programme-de-construction-dune-abbaye-dans-la-region-de-tambacounda-senegal/","secretariat@craterre.org",4,true,"CRAterre, centre international de référence en construction en terre, a mené une mission technique au Sénégal (Tambacounda, 2021-2022) pour un projet d'abbaye en matériaux locaux, démontrant une expertise terrain reconnue internationalement.","Programme de construction d'une abbaye à Tambacounda en matériaux locaux (2021-2022)","institutionnel, habitat communautaire",en,"SerpAPI Google Search"
